base_demand_MW,ev_demand_MW,total_demand_MW
17155.824609881274,1270,18425.824609881274
17836.684180526525,660,18496.684180526525
17857.251800576003,625,18482.251800576003
17199.39548919663,750,17949.39548919663
17434.736053177905,785,18219.736053177905
18281.37080543809,785,19066.37080543809
18366.72683868372,775,19141.72683868372
18602.73986871126,805,19407.73986871126
17610.721237568603,730,18340.721237568603
16003.651424153744,620,16623.651424153744
13685.407762775896,570,14255.407762775896
11938.254866096386,560,12498.254866096386
11633.930151834513,545,12178.930151834513
11788.44357737571,460,12248.44357737571
11688.20513245353,460,12148.20513245353
11856.26218818281,615,12471.26218818281
13462.45246521398,1020,14482.45246521398
13838.843807502102,1180,15018.843807502102
14989.48651791395,1260,16249.48651791395
16250.561274412856,1400,17650.561274412856
16621.31456295935,1530,18151.31456295935
16763.981925039032,1520,18283.981925039032
16861.30703382781,1500,18361.30703382781
16863.98869720747,1490,18353.98869720747
16841.13510264092,1270,18111.13510264092
17289.44853375938,660,17949.44853375938
17418.500508603356,625,18043.500508603356
16692.914770176067,750,17442.914770176067
16893.07387880954,785,17678.07387880954
