base_demand_MW,morphed_base_demand_MW,ev_demand_MW,total_demand_MW
12714.201307670013,57232.163540830814,1680.0,58912.163540830814
12737.181785015264,57268.26317301949,1635.0,58903.26317301949
12947.303988804439,57598.34048853836,1380.0,58978.34048853836
12959.00683023637,57616.72427860973,1380.0,58996.72427860973
13089.292993031584,57821.38854582752,1845.0,59666.38854582752
14592.240606580126,60182.34281291362,3060.0,63242.34281291362
14813.538989737966,60529.976594228305,3540.0,64069.976594228305
16427.654477200467,63065.56254103102,3780.0,66845.56254103102
17053.93432775234,64049.37466609862,4200.0,68249.37466609862
18023.82127594821,65572.95320489258,4590.0,70162.95320489258
18322.886670565727,66042.74983199718,4560.0,70602.74983199718
18267.83338553613,65956.2675840226,4500.0,70456.2675840226
18258.876710576973,65942.1976991024,4470.0,70412.1976991024
18179.382657935792,65817.32187435687,3810.0,69627.32187435687
18153.861207129426,65777.23067115036,1980.0,67757.23067115036
18153.261587550893,65776.28873918294,1875.0,67651.28873918294
18429.853787546435,66210.78261570628,2250.0,68460.78261570628
18807.51608535969,66804.04575109563,2355.0,69159.04575109563
21089.965731114713,70389.5062035936,2355.0,72744.5062035936
21297.78521332854,70715.96621383831,2325.0,73040.96621383831
21182.997962681056,70535.6489181587,2415.0,72950.6489181587
20208.12596426291,69004.23945066977,2190.0,71194.23945066977
19183.866287859466,67395.2477387768,1860.0,69255.2477387768
17482.314638243184,64722.309845523196,1710.0,66432.3098455232
12714.201307670013,57232.163540830814,1680.0,58912.163540830814
12737.181785015264,57268.26317301949,1635.0,58903.26317301949
12947.303988804439,57598.34048853836,1380.0,58978.34048853836
12959.00683023637,57616.72427860973,1380.0,58996.72427860973
13089.292993031584,57821.38854582752,1845.0,59666.38854582752
14647.797754449472,60269.61657026007,3060.0,63329.61657026007
14813.538989737966,60529.976594228305,3540.0,64069.976594228305
16427.654477200467,63065.56254103102,3780.0,66845.56254103102
17228.04515799439,64322.88234121667,4200.0,68522.88234121667
18212.628485670142,65869.54716693837,4590.0,70459.54716693837
18074.20528000125,65652.10056058854,4560.0,70212.10056058854
18101.16992165633,65694.45884719954,4500.0,70194.45884719954
18196.884481869594,65844.81518518542,4470.0,70314.81518518542
18188.339332894946,65831.39175927707,3810.0,69641.39175927707
18217.333105443144,65876.93757231775,1980.0,67856.93757231775
18226.985156719602,65892.09981180092,1875.0,67767.09981180092
18509.408258129948,66335.75334994662,2250.0,68585.75334994662
18974.179549239492,67065.85448791868,2355.0,69420.85448791868
21089.965731114713,70389.5062035936,2355.0,72744.5062035936
21297.78521332854,70715.96621383831,2325.0,73040.96621383831
21150.72566179093,70484.95292196535,2415.0,72899.95292196535
20202.870743241947,68995.98411536597,2190.0,71185.98411536597
19170.21867266143,67373.80893741947,1860.0,69233.80893741947
17482.314638243184,64722.309845523196,1710.0,66432.3098455232
